old_id	lifted_id	method	symbol
ENSRNOG00000000640	ENSRNOG00000000640	direct	EGR2
ENSRNOG00000000641	ENSRNOG00000000641	direct	NRBF2
ENSRNOG00000000645	ENSRNOG00000000645	direct	REEP3
ENSRNOG00000000648	ENSRNOG00000000648	direct	JMJD1C
ENSRNOG00000000650	NA	unmapped	AABR07044838.1
ENSRNOG00000000653	ENSRNOG00000000653	direct	NR5A2
ENSRNOG00000000655	ENSRNOG00000000655	direct	PTPRC
ENSRNOG00000000657	ENSRNOG00000000657	direct	NEK7
ENSRNOG00000000658	ENSRNOG00000000658	direct	ACACB
ENSRNOG00000000661	ENSRNOG00000000661	direct	HPS4
ENSRNOG00000000662	ENSRNOG00000000662	direct	SRRD
ENSRNOG00000000663	ENSRNOG00000000663	direct	TFIP11
ENSRNOG00000000664	ENSRNOG00000000664	direct	TPST2
ENSRNOG00000000665	ENSRNOG00000000665	direct	PITPNB
ENSRNOG00000000691	ENSRNOG00000000691	direct	FOXN4
ENSRNOG00000000692	ENSRNOG00000000692	direct	UNG
ENSRNOG00000000693	ENSRNOG00000000693	direct	SVOP
ENSRNOG00000000695	ENSRNOG00000000695	direct	SSH1
ENSRNOG00000000697	ENSRNOG00000000697	direct	CORO1C
ENSRNOG00000000699	ENSRNOG00000000699	direct	SELPLG
ENSRNOG00000000700	ENSRNOG00000000700	direct	TMEM119
ENSRNOG00000000701	ENSRNOG00000000701	direct	ISCU
ENSRNOG00000000702	ENSRNOG00000000702	direct	SART3
ENSRNOG00000000704	ENSRNOG00000000704	direct	CMKLR1
ENSRNOG00000000708	ENSRNOG00000000708	direct	SGSM1
ENSRNOG00000000713	ENSRNOG00000000713	direct	AABR07033045.1
ENSRNOG00000000715	ENSRNOG00000000715	direct	POU1F1
ENSRNOG00000000716	ENSRNOG00000000716	direct	HTR1F
ENSRNOG00000000718	ENSRNOG00000000718	direct	CGGBP1
ENSRNOG00000000720	ENSRNOG00000000720	direct	MGC95208
ENSRNOG00000000723	NA	unmapped	RT1-CE5
ENSRNOG00000000726	ENSRNOG00000000726	direct	OLR1671
ENSRNOG00000000728	ENSRNOG00000000728	direct	CLIC2
ENSRNOG00000000729	ENSRNOG00000000729	direct	TMLHE
ENSRNOG00000000746	ENSRNOG00000080959	id_history	OLR1695
ENSRNOG00000000747	ENSRNOG00000089103	id_history	OLR1694
ENSRNOG00000000748	NA	unmapped	AABR07044273.1
ENSRNOG00000000749	ENSRNOG00000073425	id_history	OLR1693
ENSRNOG00000000759	ENSRNOG00000000759	direct	OLR1730
ENSRNOG00000000763	ENSRNOG00000000763	direct	RT1-M3-1
ENSRNOG00000000765	ENSRNOG00000000765	direct	OLR1743
ENSRNOG00000000767	ENSRNOG00000000767	direct	AC112568.1
ENSRNOG00000000768	NA	unmapped	UBD
ENSRNOG00000000774	ENSRNOG00000000774	direct	GABBR1
