symbol	old_ensrnog	current_ensrnog	n_tissues_trainreg	tissues	in_current_annot	in_sc_corpus	category	importance
PPP1R35	ENSRNOG00000050881		1	SMLINT	FALSE	FALSE	real_curated	low
PPP3R1	ENSRNOG00000043210		1	SKM-VL	FALSE	FALSE	real_curated	low
PRAM1	ENSRNOG00000039204		1	COLON	FALSE	FALSE	real_curated	low
PYCR3	ENSRNOG00000054724		1	COLON	FALSE	FALSE	real_curated	low
RBP2	ENSRNOG00000013932		1	COLON	FALSE	FALSE	real_curated	low
RNF11	ENSRNOG00000057589		1	BLOOD	FALSE	FALSE	real_curated	low
RPL35A	ENSRNOG00000032303		1	SPLEEN	FALSE	FALSE	ribosomal	low
RPPH1	ENSRNOG00000054493	ENSRNOG00000054493	1	SKM-VL	TRUE	FALSE	real_curated	low
RPS12L8	ENSRNOG00000062272		1	BLOOD	FALSE	FALSE	ribosomal	low
RPS2-PS6	ENSRNOG00000022934	ENSRNOG00000022934	1	BLOOD	TRUE	FALSE	ribosomal	low
RPS7	ENSRNOG00000008551		1	BLOOD	FALSE	FALSE	ribosomal	low
RT1-CE15	ENSRNOG00000048951		1	OVARY	FALSE	FALSE	MHC_RT1	low
SEPHS2	ENSRNOG00000048397	ENSRNOG00000048397	1	COLON	TRUE	FALSE	real_curated	low
SETDB2	ENSRNOG00000053915		1	SPLEEN	FALSE	FALSE	real_curated	low
SHISAL1	ENSRNOG00000052725		1	OVARY	FALSE	FALSE	real_curated	low
SLC25A34	ENSRNOG00000021526		1	OVARY	FALSE	FALSE	real_curated	low
SLC25A36	ENSRNOG00000013802		1	SPLEEN	FALSE	FALSE	real_curated	low
SMCP	ENSRNOG00000009326		1	TESTES	FALSE	FALSE	real_curated	low
SMDT1	ENSRNOG00000008461		1	COLON	FALSE	FALSE	real_curated	low
SNX21	ENSRNOG00000053247		1	ADRNL	FALSE	FALSE	real_curated	low
SPACDR	ENSRNOG00000046006		1	WAT-SC	FALSE	FALSE	real_curated	low
SPETEX2L2	ENSRNOG00000047581		1	ADRNL	FALSE	FALSE	real_curated	low
TIPINL1	ENSRNOG00000037221		1	COLON	FALSE	FALSE	real_curated	low
TMEM138	ENSRNOG00000020693		1	BLOOD	FALSE	FALSE	real_curated	low
TNFRSF17	ENSRNOG00000021987		1	SMLINT	FALSE	FALSE	real_curated	low
TOMM5	ENSRNOG00000062108		1	COLON	FALSE	FALSE	real_curated	low
TTC27	ENSRNOG00000042932		1	BLOOD	FALSE	FALSE	real_curated	low
UBE2QL1	ENSRNOG00000034075		1	OVARY	FALSE	FALSE	real_curated	low
USP11	ENSRNOG00000009049		1	ADRNL	FALSE	FALSE	real_curated	low
VKORC1	ENSRNOG00000050828		1	WAT-SC	FALSE	FALSE	real_curated	low
VKORC1L1	ENSRNOG00000058750		1	ADRNL	FALSE	FALSE	real_curated	low
VSTM2L	ENSRNOG00000034031		1	ADRNL	FALSE	FALSE	real_curated	low
YOD1	ENSRNOG00000025704		1	BLOOD	FALSE	FALSE	real_curated	low
ZFP457	ENSRNOG00000051606		1	COLON	FALSE	FALSE	real_curated	low
ZFP483	ENSRNOG00000014975		1	ADRNL	FALSE	FALSE	real_curated	low
ZFP606	ENSRNOG00000019127		1	ADRNL	FALSE	FALSE	real_curated	low
ZFP950	ENSRNOG00000032668		1	COLON	FALSE	FALSE	real_curated	low
