feature_ID	symbol	biotype
ENSRNOG00000001083	Kdelr2	protein_coding
ENSRNOG00000001086	Vps37b	protein_coding
ENSRNOG00000001088	Rfc3	protein_coding
ENSRNOG00000001090	Stard13	protein_coding
ENSRNOG00000001091	Hip1r	protein_coding
ENSRNOG00000001092	Kl	protein_coding
ENSRNOG00000001094	Zfp316	protein_coding
ENSRNOG00000001098	Pds5b	protein_coding
ENSRNOG00000001099	Rbak	protein_coding
ENSRNOG00000001101	Rnf216	protein_coding
ENSRNOG00000001103	Sdk1	protein_coding
ENSRNOG00000001104	Foxk1	protein_coding
ENSRNOG00000001106	Denr	protein_coding
ENSRNOG00000001108	N4bp2l2	protein_coding
ENSRNOG00000001111	Brca2	protein_coding
ENSRNOG00000001113	Mmd2	protein_coding
ENSRNOG00000001114	Wipi2	protein_coding
ENSRNOG00000001115	Slc29a4	protein_coding
ENSRNOG00000001117	Fbxl18	protein_coding
ENSRNOG00000001120	Med13l	protein_coding
ENSRNOG00000001123	Spring1	protein_coding
ENSRNOG00000001124	Rnft2	protein_coding
ENSRNOG00000001126	Fbxw8	protein_coding
ENSRNOG00000001128	Tesc	protein_coding
ENSRNOG00000001129	Fbxo21	protein_coding
ENSRNOG00000001130	Nos1	protein_coding
ENSRNOG00000001134	Rfc5	protein_coding
ENSRNOG00000001135	Wsb2	protein_coding
ENSRNOG00000001136	Pebp1	protein_coding
ENSRNOG00000001138	Taok3	protein_coding
ENSRNOG00000001139	Suds3	protein_coding
ENSRNOG00000001141	Srrm4	protein_coding
ENSRNOG00000001142	Prkab1	protein_coding
ENSRNOG00000001143	Cit	protein_coding
ENSRNOG00000001148	Rplp0	protein_coding
ENSRNOG00000001149	Pxn	protein_coding
ENSRNOG00000001151	Sirt4	protein_coding
ENSRNOG00000001152	Glp1r	protein_coding
ENSRNOG00000001153	Pla2g1b	protein_coding
ENSRNOG00000001156	Msi1	protein_coding
ENSRNOG00000001157	Umodl1	protein_coding
ENSRNOG00000001158	Abcg1	protein_coding
ENSRNOG00000001159	Tff3	protein_coding
ENSRNOG00000001160	Triap1	protein_coding
ENSRNOG00000001162	Tff2	protein_coding
ENSRNOG00000001163	Srsf9	protein_coding
ENSRNOG00000001164	Tff1	protein_coding
ENSRNOG00000001165	Tmprss3	protein_coding
ENSRNOG00000001167	Ubash3a	protein_coding
ENSRNOG00000001169	Slc37a1	protein_coding
ENSRNOG00000001170	Cox6a1	protein_coding
ENSRNOG00000001171	Coq5	protein_coding
ENSRNOG00000001172	Rnf10	protein_coding
ENSRNOG00000001173	Cabp1	protein_coding
ENSRNOG00000001174	Pde9a	protein_coding
ENSRNOG00000001177	Acads	protein_coding
ENSRNOG00000001178	Sppl3	protein_coding
ENSRNOG00000001181	Wdr4	protein_coding
ENSRNOG00000001182	Ndufv3	protein_coding
ENSRNOG00000001183	Hnf1a	protein_coding
ENSRNOG00000001184	Pknox1	protein_coding
ENSRNOG00000001185	C12h12orf43	protein_coding
ENSRNOG00000001187	Oasl	protein_coding
ENSRNOG00000001189	Sik1	protein_coding
ENSRNOG00000001190	Git2	protein_coding
ENSRNOG00000001191	Tchp	protein_coding
ENSRNOG00000001192	Gltp	protein_coding
ENSRNOG00000001193	Hsf2bp	protein_coding
ENSRNOG00000001194	Rrp1b	protein_coding
ENSRNOG00000001195	Trpv4	protein_coding
ENSRNOG00000001198	Fam222a	protein_coding
ENSRNOG00000001199	Pop5	protein_coding
ENSRNOG00000001201	Cstb	protein_coding
ENSRNOG00000001203	Rrp1	protein_coding
ENSRNOG00000001204	Ankrd13a	protein_coding
ENSRNOG00000001205	Agpat3	protein_coding
ENSRNOG00000001210	Pwp2	protein_coding
ENSRNOG00000001211	Gatd3a	protein_coding
ENSRNOG00000001212	Dnmt3l	protein_coding
ENSRNOG00000001213	Aire	protein_coding
ENSRNOG00000001214	Pfkl	protein_coding
ENSRNOG00000001215	Cfap410	protein_coding
ENSRNOG00000001216	Trpm2	protein_coding
ENSRNOG00000001217	Lrrc3	protein_coding
ENSRNOG00000001218	Krtap10-8l1	protein_coding
ENSRNOG00000001219	Tspear	protein_coding
ENSRNOG00000001222	Ube2g2	protein_coding
ENSRNOG00000001223	Pttg1ip	protein_coding
ENSRNOG00000001224	Itgb2	protein_coding
ENSRNOG00000001225	Slx9	protein_coding
ENSRNOG00000001226	Nme2	protein_coding
ENSRNOG00000001227	Adarb1	protein_coding
ENSRNOG00000001228	Pofut2	protein_coding
ENSRNOG00000001229	Col18a1	protein_coding
ENSRNOG00000001232	Slc19a1	protein_coding
ENSRNOG00000001235	Gna12	protein_coding
ENSRNOG00000001236	Brat1	protein_coding
ENSRNOG00000001237	Cabin1	protein_coding
ENSRNOG00000001238	Rsrc2	protein_coding
ENSRNOG00000001241	Iqce	protein_coding
ENSRNOG00000001242	Gstt3	protein_coding
ENSRNOG00000001243	Zcchc8	protein_coding
ENSRNOG00000001245	Pcbp3	protein_coding
ENSRNOG00000001247	Clip1	protein_coding
ENSRNOG00000001249	Col6a1	protein_coding
