feature_ID	n_tissues	tissue
ENSRNOG00000008364	6	ADRNL,BAT,BLOOD,HEART,SKM-VL,SPLEEN
ENSRNOG00000008414	6	BAT,BLOOD,COLON,HEART,LUNG,WAT-SC
ENSRNOG00000008937	6	ADRNL,BLOOD,HEART,LUNG,OVARY,SPLEEN
ENSRNOG00000008941	6	ADRNL,BLOOD,COLON,OVARY,SMLINT,SPLEEN
ENSRNOG00000009370	6	ADRNL,BAT,HEART,LUNG,SKM-VL,WAT-SC
ENSRNOG00000009629	6	ADRNL,COLON,LIVER,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000009705	6	ADRNL,BAT,COLON,LUNG,OVARY,SPLEEN
ENSRNOG00000009715	6	ADRNL,BAT,COLON,HEART,SKM-VL,WAT-SC
ENSRNOG00000009722	6	BLOOD,COLON,HEART,LIVER,LUNG,SPLEEN
ENSRNOG00000010037	6	ADRNL,BAT,BLOOD,COLON,SPLEEN,WAT-SC
ENSRNOG00000010107	6	COLON,HEART,LUNG,OVARY,SKM-GN,SKM-VL
ENSRNOG00000010233	6	ADRNL,BLOOD,COLON,SPLEEN,TESTES,WAT-SC
ENSRNOG00000010807	6	ADRNL,BAT,BLOOD,COLON,OVARY,SKM-VL
ENSRNOG00000010947	6	ADRNL,BAT,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000011134	6	ADRNL,BAT,COLON,LUNG,TESTES,WAT-SC
ENSRNOG00000011796	6	ADRNL,BAT,BLOOD,CORTEX,OVARY,WAT-SC
ENSRNOG00000011971	6	ADRNL,BAT,SMLINT,SPLEEN,TESTES,WAT-SC
ENSRNOG00000012216	6	ADRNL,BAT,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000012881	6	ADRNL,BAT,BLOOD,COLON,LUNG,TESTES
ENSRNOG00000012957	6	ADRNL,BLOOD,HEART,SKM-GN,SKM-VL,SPLEEN
ENSRNOG00000013211	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000013589	6	ADRNL,CORTEX,SKM-GN,SKM-VL,SMLINT,SPLEEN
ENSRNOG00000013820	6	ADRNL,BAT,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000013886	6	BAT,COLON,HIPPOC,LUNG,SMLINT,WAT-SC
ENSRNOG00000014182	6	ADRNL,BAT,COLON,LUNG,SKM-VL,SPLEEN
ENSRNOG00000014743	6	ADRNL,BAT,BLOOD,OVARY,SKM-VL,SPLEEN
ENSRNOG00000015078	6	ADRNL,BAT,BLOOD,LUNG,SMLINT,SPLEEN
ENSRNOG00000015773	6	ADRNL,BAT,BLOOD,LUNG,SMLINT,WAT-SC
ENSRNOG00000016041	6	ADRNL,BAT,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000016069	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000016190	6	ADRNL,BAT,COLON,HEART,SKM-GN,SKM-VL
ENSRNOG00000016225	6	BAT,COLON,OVARY,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000016478	6	ADRNL,BAT,BLOOD,COLON,LUNG,SPLEEN
